"package","installed","version"
"data.table",TRUE,"1.17.8"
"GEOquery",TRUE,"2.76.0"
"limma",TRUE,"3.64.3"
"edgeR",TRUE,"4.6.3"
"DESeq2",TRUE,"1.48.2"
"caret",TRUE,"7.0.1"
"glmnet",TRUE,"4.1.10"
"mboost",TRUE,"2.9.11"
"xgboost",TRUE,"1.7.11.1"
"ranger",TRUE,"0.17.0"
"pROC",TRUE,"1.19.0.1"
"PRROC",TRUE,"1.4"
"boot",TRUE,"1.3.31"
"rsample",TRUE,"1.3.2"
"recipes",TRUE,"1.3.1"
"yardstick",FALSE,
"dcurves",TRUE,"0.5.0"
"rmda",TRUE,"1.6"
"survival",TRUE,"3.8.3"
"metafor",TRUE,"4.8.0"
"Seurat",TRUE,"5.3.1.9999"
"SingleCellExperiment",TRUE,"1.30.1"
"muscat",FALSE,
"scuttle",TRUE,"1.18.0"
"scran",FALSE,
"variancePartition",FALSE,
"dreamlet",FALSE,
"glmmTMB",FALSE,
"lme4",TRUE,"2.0.1"
"speckle",FALSE,
"decoupleR",TRUE,"2.14.0"
"UCell",TRUE,"2.12.0"
"GSVA",TRUE,"2.2.0"
"ComplexHeatmap",TRUE,"2.25.2"
"patchwork",TRUE,"1.3.2"
"ggplot2",TRUE,"4.0.2"
"ggrepel",TRUE,"0.9.6"
"svglite",TRUE,"2.2.1"
"ragg",TRUE,"1.5.0"
"openxlsx",TRUE,"4.2.8"
"officer",FALSE,
"here",TRUE,"1.0.2"
"renv",FALSE,
